net,length_um
manchester_baby_instance.BASE_0.s_countReg\[2\],1.7
_0289_,1.68
_0318_,1.6
net18,1.575
_0193_,1.49
_0208_,1.49
net27,1.48
_0476_,1.46
_0457_,1.38
_0483_,1.38
net22,1.38
_0005_,1.36
_0012_,1.36
_0016_,1.36
_0017_,1.36
_0023_,1.36
_0028_,1.36
_0033_,1.36
_0039_,1.36
_0397_,1.36
_0267_,1.26
_0345_,1.26
_0477_,1.26
_0461_,1.14
_0486_,1.14
_0168_,0.92
_0369_,0.92
_0424_,0.8
_0137_,0.46
_0213_,0.46
_0354_,0.46
_0450_,0.46
_0493_,0.46
_0551_,0.46
net24,0.46
net25,0.46
